timestamp;x;y;z
1.316176;-0.382080;0.873779;-0.061279
1.316454;-0.369141;0.972656;-0.081055
1.316696;-0.369873;1.011963;-0.046875
1.316976;-0.290039;0.941162;-0.007568
1.405293;-0.318848;1.105225;-0.005859
1.405583;-0.360107;1.078369;0.031982
1.405829;-0.392578;0.931885;0.100342
1.406064;-0.482666;1.032471;0.078125
1.585420;-0.460205;1.049805;0.119873
1.585708;-0.436768;1.015137;0.149414
1.585955;-0.446045;0.994629;0.129883
1.586189;-0.466797;1.006348;0.142822
1.675671;-0.477783;0.988770;0.189941
1.676066;-0.466553;0.975586;0.213135
1.676313;-0.493408;0.993408;0.216797
1.676547;-0.525391;0.965820;0.218018
1.855631;-0.517090;0.919189;0.278809
1.855929;-0.498291;0.886719;0.327148
1.856173;-0.471191;0.823730;0.373047
1.856405;-0.458252;0.734863;0.431396
1.945131;-0.449951;0.696045;0.494873
1.945418;-0.444580;0.752930;0.557617
1.945658;-0.420410;0.826416;0.596436
1.945889;-0.421875;0.699951;0.639648
2.035108;-0.422119;0.658936;0.690918
2.035409;-0.421875;0.657471;0.715820
2.035654;-0.430420;0.548340;0.682373
2.035888;-0.419434;0.552002;0.714111
2.215295;-0.398682;0.594727;0.736572
2.215599;-0.395996;0.549805;0.670898
2.215986;-0.385742;0.649902;0.731201
2.216220;-0.420654;0.645020;0.764160
2.314429;-0.405762;0.707031;0.717041
2.314771;-0.440186;0.602539;0.677979
2.315011;-0.419434;0.663330;0.740234
2.315245;-0.410156;0.631348;0.705322
2.935107;-0.484863;0.539795;0.612549
2.935559;-0.494385;0.385254;0.621582
2.935802;-0.431396;0.543945;0.666992
2.936036;-0.463623;0.485107;0.539795
2.937742;-0.449951;0.541260;0.585938
2.938002;-0.367188;0.595459;0.624756
2.938238;-0.314453;0.551025;0.519043
2.938466;-0.162842;0.601807;0.609131
3.025431;-0.009766;0.720215;0.710449
3.025721;0.021484;0.570557;0.724609
3.025960;0.055664;0.642822;0.825684
3.026260;0.019775;0.686279;0.905029
3.115144;-0.301025;0.915771;1.148682
3.115433;-0.074219;0.621094;1.014404
3.115673;-0.166016;0.558350;0.852539
3.116041;-0.088623;0.562256;0.769287
3.206355;-0.130127;0.444580;0.826416
3.206742;-0.128174;0.476807;0.869141
3.206979;-0.211426;0.423340;0.959961
3.207208;-0.214111;0.502930;0.901367
3.208070;-0.182373;0.620361;0.806396
3.208310;-0.127441;0.496826;0.857666
3.208539;-0.109863;0.468018;0.901855
3.208762;-0.117432;0.459717;0.839600
3.295979;-0.100342;0.559326;0.830811
3.296282;-0.145752;0.372314;0.901855
3.296656;-0.175537;0.356445;0.983154
3.296889;-0.157471;0.340820;1.010254
3.306063;-0.151367;0.292969;1.099365
3.306257;-0.083008;0.181396;1.009033
3.306845;-0.022461;0.223389;0.955322
3.307106;-0.081787;0.296631;0.920166
3.835337;-0.078369;0.234863;0.886230
3.835642;-0.087646;0.248047;0.927002
3.835885;-0.040771;0.281250;0.944092
3.836243;-0.003174;0.458252;1.057129
3.839443;-0.055176;0.507568;0.981201
3.839685;-0.045898;0.416260;0.931641
3.839917;-0.029297;0.383545;0.929443
3.840143;-0.062744;0.341064;0.945312
3.926024;-0.073486;0.354248;0.953613
3.926351;-0.064697;0.357178;0.940186
3.926675;-0.064453;0.317139;0.944580
3.926906;-0.056641;0.308594;0.967285
4.015359;-0.064453;0.290283;0.942139
4.015663;-0.079834;0.300781;0.925781
4.016026;-0.081055;0.278320;0.925781
4.016262;-0.088135;0.287598;0.935547
4.018319;-0.084717;0.313965;0.929199
4.018557;-0.066406;0.302734;0.946777
4.018787;-0.083496;0.374268;0.912598
4.019013;-0.039795;0.363525;0.994385
4.105504;-0.018555;0.281982;1.018066
4.105794;-0.010742;0.392822;0.945068
4.106035;0.000977;0.189209;0.877686
4.106266;-0.062500;0.268799;1.011963
4.203592;-0.098389;0.310059;1.005615
4.204028;-0.013672;0.322021;0.938721
4.204276;0.039551;0.324951;0.947021
4.204514;-0.015137;0.298096;0.981934
4.375251;-0.040283;0.347412;0.919678
4.375539;-0.019531;0.360596;0.931396
4.375779;-0.057373;0.545410;0.988770
4.376008;-0.010254;0.455811;0.815430
4.465327;-0.069580;0.354980;0.880615
4.465611;-0.042236;0.401123;0.932373
4.465852;-0.059082;0.358887;0.947998
4.466081;-0.042480;0.368408;0.958008
4.555129;-0.034424;0.309570;0.962158
4.555416;-0.043945;0.315186;0.965576
4.555656;-0.038574;0.318359;0.956055
4.555886;-0.042236;0.348145;0.951172
4.735372;-0.036621;0.352783;0.963379
4.735667;-0.047852;0.318604;0.954834
4.735916;-0.055664;0.321533;0.941650
4.736150;-0.053223;0.320801;0.946289
4.825094;-0.053711;0.325684;0.945312
4.825377;-0.050537;0.312500;0.953857
4.825616;-0.052002;0.322021;0.944580
4.825847;-0.050293;0.324707;0.954102
5.005148;-0.050049;0.308838;0.964111
5.005438;-0.057129;0.309326;0.950928
5.005677;-0.062500;0.333008;0.944336
5.005907;-0.056885;0.326172;0.947266
5.096113;-0.060547;0.315918;0.951904
5.096385;-0.058594;0.311523;0.951904
5.096624;-0.056641;0.311523;0.955322
5.096854;-0.059814;0.314697;0.945312
5.185322;-0.059570;0.292725;0.952881
5.185641;-0.065674;0.300293;0.958496
5.185882;-0.055176;0.317383;0.953125
5.186113;-0.053955;0.314453;0.954834
5.365083;-0.058105;0.306885;0.951660
5.365365;-0.058594;0.320557;0.952637
5.365602;-0.053955;0.318115;0.957031
5.365832;-0.048828;0.329834;0.960205
5.455350;-0.047607;0.333008;0.956299
5.455636;-0.051514;0.318848;0.947754
5.455877;-0.053467;0.323242;0.955811
5.456107;-0.051514;0.330078;0.955078
5.995657;-0.053711;0.316406;0.946045
5.996242;-0.058594;0.320801;0.953125
5.996484;-0.055664;0.314697;0.952637
5.996717;-0.051758;0.326172;0.953369
5.998500;-0.053711;0.314453;0.953613
5.998735;-0.056885;0.313232;0.953125
5.998963;-0.054932;0.309814;0.953125
5.999189;-0.056152;0.314453;0.956787
6.084820;-0.057129;0.309082;0.951904
6.085107;-0.060547;0.310303;0.953125
6.085349;-0.054443;0.312500;0.955811
6.085577;-0.056885;0.309570;0.955322
6.175354;-0.057373;0.308838;0.955078
6.175653;-0.053467;0.314941;0.955322
6.176013;-0.054199;0.312256;0.955322
6.176250;-0.057129;0.312256;0.954346
6.178403;-0.053955;0.312256;0.953369
6.178638;-0.058594;0.312500;0.956543
6.178863;-0.054932;0.310791;0.954346
6.179087;-0.057861;0.311523;0.953125
6.265713;-0.055908;0.310547;0.957275
6.266008;-0.055420;0.312744;0.956543
6.266249;-0.056152;0.308838;0.954590
6.266479;-0.056152;0.310303;0.955811
6.355235;-0.055908;0.309814;0.956299
6.355520;-0.056152;0.308350;0.954102
6.355760;-0.056885;0.312500;0.956299
6.355990;-0.055664;0.310303;0.956055
6.445384;-0.058105;0.307373;0.957520
6.445675;-0.058350;0.303711;0.954834
6.445915;-0.058350;0.307129;0.953125
6.446142;-0.058105;0.312012;0.958740
6.985380;-0.055908;0.305908;0.956543
6.985674;-0.058594;0.310059;0.955566
6.985913;-0.057617;0.306152;0.959473
6.986143;-0.056396;0.306885;0.954834
7.075004;-0.057617;0.307861;0.958008
7.075332;-0.056885;0.306641;0.958496
7.075572;-0.057617;0.304688;0.954346
7.075803;-0.058105;0.308594;0.958740
7.076285;-0.056885;0.304443;0.956787
7.076515;-0.060547;0.305664;0.957764
7.076825;-0.058350;0.306152;0.958496
7.077050;-0.058350;0.305908;0.956543
7.169598;-0.059082;0.308105;0.960449
7.169820;-0.057129;0.303223;0.954834
7.170056;-0.058594;0.302246;0.957031
7.170285;-0.057373;0.310059;0.957764
7.172106;-0.056396;0.302490;0.954102
7.172337;-0.059326;0.304199;0.955566
7.172562;-0.056641;0.304443;0.958496
7.172785;-0.058594;0.302246;0.953857
7.259591;-0.058838;0.302734;0.957764
7.259861;-0.056641;0.303223;0.952393
7.262699;-0.059326;0.309082;0.959961
7.262944;-0.055664;0.302246;0.960449
7.345190;-0.058838;0.303711;0.954590
7.345485;-0.057129;0.305176;0.957764
7.345723;-0.057861;0.307129;0.960693
7.345951;-0.057617;0.300293;0.955566
7.525029;-0.057373;0.309814;0.950684
7.525309;-0.059326;0.307129;0.960205
7.525549;-0.055176;0.306152;0.956787
7.525777;-0.057129;0.305176;0.952637
7.615101;-0.060303;0.306152;0.959473
7.615383;-0.054932;0.306885;0.955811
7.615621;-0.057373;0.305908;0.955078
7.615850;-0.058838;0.307373;0.959717
7.706350;-0.058105;0.302979;0.956787
7.706606;-0.058350;0.304443;0.954590
7.706840;-0.056885;0.307861;0.956543
7.707069;-0.060059;0.307861;0.958252
8.245352;-0.058838;0.306152;0.956787
8.245660;-0.057617;0.306885;0.959229
8.245996;-0.055908;0.309814;0.956299
8.246232;-0.058838;0.302002;0.954590
8.334885;-0.057617;0.304688;0.957520
8.335204;-0.054688;0.309082;0.953613
8.335442;-0.056641;0.306641;0.963379
8.335673;-0.055908;0.303955;0.958496
8.424986;-0.057861;0.308838;0.957031
8.425419;-0.055664;0.308350;0.954834
8.425660;-0.055176;0.311035;0.953125
8.425900;-0.054688;0.308105;0.954346
8.426388;-0.061279;0.305908;0.959717
8.426626;-0.058838;0.308594;0.957275
8.426924;-0.055176;0.310059;0.955566
8.427151;-0.055908;0.307129;0.954346
8.515559;-0.058838;0.307373;0.957275
8.515845;-0.057129;0.310303;0.957275
8.516212;-0.057129;0.307129;0.957275
8.516441;-0.056885;0.309814;0.957031
8.518028;-0.056641;0.308350;0.957031
8.518266;-0.055908;0.308350;0.953857
8.518495;-0.057373;0.309570;0.956543
8.518720;-0.056396;0.305664;0.956055
8.605038;-0.058838;0.309082;0.959961
8.605320;-0.061768;0.306885;0.959961
8.605556;-0.057129;0.302979;0.953857
8.605784;-0.059326;0.307861;0.959717
8.785313;-0.055420;0.307129;0.954834
8.785609;-0.059570;0.305908;0.958008
8.785847;-0.056152;0.304932;0.961426
8.786076;-0.055664;0.308105;0.956787
8.875910;-0.058105;0.304199;0.954834
8.876166;-0.057617;0.309326;0.957275
8.876399;-0.056885;0.304688;0.955322
8.876626;-0.058594;0.304688;0.958984
8.965135;-0.058350;0.302490;0.956055
8.965441;-0.059570;0.306641;0.959473
8.965679;-0.057617;0.304199;0.957275
8.965905;-0.058105;0.304443;0.954102
9.149288;-0.056641;0.303955;0.955566
9.149572;-0.056885;0.304688;0.958740
9.149819;-0.058350;0.304199;0.953857
9.150051;-0.058594;0.305908;0.956543
9.235503;-0.059082;0.305908;0.958496
9.235789;-0.058350;0.306396;0.958008
9.236035;-0.056885;0.302490;0.956299
9.236285;-0.057617;0.304443;0.956543
9.775361;-0.058594;0.304688;0.958008
9.775889;-0.055908;0.301270;0.955566
9.776134;-0.060791;0.304688;0.958008
9.776364;-0.057617;0.299316;0.957275
9.787294;-0.059326;0.304932;0.958740
9.787546;-0.058838;0.298096;0.958252
9.787777;-0.059082;0.303711;0.953613
9.788005;-0.061279;0.304443;0.959473
9.865629;-0.058105;0.303223;0.956055
9.866069;-0.058350;0.301514;0.956299
9.866310;-0.058594;0.303223;0.959717
9.866964;-0.057617;0.303711;0.956543
9.868225;-0.059326;0.303711;0.958984
9.868458;-0.058838;0.299561;0.959229
9.868683;-0.057129;0.301025;0.955811
9.868905;-0.059570;0.305176;0.959229
9.955019;-0.059570;0.306396;0.961182
9.955299;-0.056152;0.297852;0.954834
9.955655;-0.058594;0.302979;0.958984
9.955886;-0.059570;0.304443;0.957031
10.045418;-0.058594;0.302246;0.956299
10.045702;-0.058594;0.302734;0.956543
10.045938;-0.059814;0.303467;0.958496
10.046167;-0.057617;0.301025;0.957275
10.135177;-0.057373;0.304443;0.955811
10.135458;-0.059814;0.299316;0.963135
10.135693;-0.055176;0.304443;0.953857
10.135918;-0.059814;0.306396;0.961670
10.230576;-0.058594;0.298584;0.963623
10.230846;-0.061279;0.303711;0.953125
10.231085;-0.059814;0.305176;0.958496
10.231315;-0.059570;0.303223;0.957031
10.765196;-0.058838;0.303711;0.957275
10.765484;-0.060303;0.300537;0.960205
10.765721;-0.057861;0.298828;0.955811
10.766390;-0.060547;0.302490;0.960693
10.854528;-0.058594;0.301514;0.956299
10.854961;-0.060059;0.302002;0.955811
10.855196;-0.058350;0.304932;0.958984
10.855423;-0.059570;0.304932;0.959229
10.856371;-0.057373;0.302490;0.956299
10.856606;-0.059570;0.304443;0.957520
10.856829;-0.059082;0.302246;0.956055
10.857054;-0.059082;0.305908;0.958496
10.946943;-0.061523;0.303467;0.957520
10.947221;-0.059570;0.302490;0.955811
10.947455;-0.058350;0.303467;0.957031
10.947682;-0.057129;0.305176;0.959961
10.948774;-0.057373;0.300293;0.956787
10.949003;-0.062256;0.304688;0.958984
10.949226;-0.057129;0.302490;0.954102
10.949449;-0.060303;0.305176;0.959717
11.043085;-0.056885;0.301270;0.958252
11.043327;-0.058105;0.302979;0.955566
11.044063;-0.060059;0.305176;0.959229
11.044391;-0.056152;0.305420;0.955811
11.125253;-0.057617;0.300049;0.956787
11.125560;-0.060791;0.307861;0.959961
11.125798;-0.058350;0.303467;0.955322
11.126086;-0.059082;0.303711;0.957764
11.666721;-0.057373;0.302490;0.955811
11.666977;-0.058105;0.310059;0.956299
11.667211;-0.059082;0.305176;0.958252
11.667440;-0.057129;0.306885;0.956543
11.667868;-0.058350;0.305664;0.957275
11.668103;-0.059570;0.304199;0.957275
11.668328;-0.060303;0.307129;0.959961
11.668554;-0.059082;0.305664;0.957031
11.755437;-0.056641;0.304688;0.956543
11.755996;-0.058350;0.306885;0.959717
11.756248;-0.059082;0.307129;0.958984
11.756598;-0.056641;0.304199;0.954590
11.766147;-0.059570;0.309326;0.958252
11.766924;-0.058105;0.304199;0.955811
11.767173;-0.059814;0.307373;0.958252
11.767488;-0.054688;0.305908;0.962646
11.845584;-0.056641;0.306396;0.956055
11.845885;-0.060791;0.305176;0.957275
11.846123;-0.059326;0.308838;0.959961
11.846352;-0.054443;0.305420;0.954834
11.935082;-0.057861;0.306885;0.961182
11.935367;-0.059326;0.303467;0.957275
11.935603;-0.058350;0.308594;0.957275
11.935830;-0.056885;0.301514;0.956543
12.024974;-0.057861;0.303711;0.957031
12.025272;-0.058838;0.306152;0.959717
12.025508;-0.058105;0.307617;0.959229
12.025736;-0.058350;0.304199;0.956543
12.115140;-0.058838;0.302490;0.955322
12.115421;-0.058838;0.306152;0.960693
12.115660;-0.057861;0.303223;0.955322
12.115886;-0.058105;0.303711;0.956543
12.657134;-0.059570;0.303467;0.956299
12.657389;-0.059326;0.304932;0.957520
12.657624;-0.059326;0.304688;0.957520
12.657851;-0.059326;0.300781;0.957764
12.666387;-0.059814;0.303467;0.956543
12.666582;-0.056885;0.300781;0.957520
12.667147;-0.059570;0.301758;0.959229
12.667390;-0.057861;0.301025;0.958496
12.747001;-0.058350;0.306641;0.957520
12.747258;-0.059082;0.302002;0.959961
12.747494;-0.057861;0.304199;0.955078
12.747723;-0.057373;0.301514;0.957275
12.748766;-0.061523;0.302490;0.959473
12.748995;-0.059326;0.302490;0.956299
12.749222;-0.060059;0.304199;0.957031
12.749447;-0.058838;0.298584;0.957031
12.835406;-0.060303;0.302246;0.958252
12.835692;-0.058594;0.302734;0.958740
12.835966;-0.060303;0.301758;0.957520
12.836195;-0.059082;0.303467;0.957764
12.924998;-0.059570;0.297607;0.957764
12.925427;-0.058105;0.302979;0.957031
12.925666;-0.060547;0.301270;0.957275
12.925895;-0.063232;0.300049;0.958984
13.015504;-0.060547;0.298340;0.959229
13.015791;-0.059814;0.302002;0.958496
13.016030;-0.059570;0.300781;0.959229
13.016257;-0.059814;0.300537;0.958008
13.195348;-0.059326;0.298828;0.961182
13.195653;-0.062012;0.298828;0.959717
13.195890;-0.060059;0.300537;0.960938
13.196119;-0.056641;0.297852;0.960938
13.286286;-0.062012;0.298340;0.958740
13.286540;-0.061035;0.298584;0.959717
13.286777;-0.060547;0.299561;0.958984
13.287004;-0.059082;0.296631;0.958740
13.375103;-0.061279;0.298096;0.959473
13.375387;-0.058350;0.299316;0.960938
13.375624;-0.061279;0.298340;0.959473
13.375852;-0.059570;0.295410;0.958008
13.555473;-0.059082;0.296631;0.958740
13.555809;-0.057617;0.298340;0.961182
13.556052;-0.060791;0.298340;0.961426
13.556282;-0.059570;0.297119;0.958496
13.645846;-0.059570;0.298340;0.959717
13.646097;-0.060303;0.295654;0.959473
13.646328;-0.061035;0.297607;0.959229
13.646558;-0.060547;0.299805;0.961182
14.185811;-0.059814;0.296387;0.958984
14.186107;-0.062012;0.298828;0.959961
14.186345;-0.059814;0.296631;0.956543
14.186575;-0.059570;0.298340;0.962402
14.275028;-0.061035;0.299561;0.959961
14.275468;-0.059082;0.296143;0.955811
14.275711;-0.060791;0.297607;0.961914
14.275942;-0.057617;0.296631;0.958496
14.364925;-0.059814;0.299316;0.962646
14.365316;-0.058350;0.293457;0.961182
14.365556;-0.059570;0.297363;0.959717
14.365783;-0.059814;0.297852;0.961182
14.455606;-0.060547;0.297119;0.957031
14.456085;-0.059814;0.294678;0.959717
14.456457;-0.060059;0.297607;0.961426
14.456695;-0.060059;0.296143;0.958008
14.457904;-0.060791;0.298096;0.960205
14.458134;-0.059814;0.291992;0.961670
14.458360;-0.058838;0.296387;0.956055
14.458585;-0.058105;0.298828;0.963135
14.459346;-0.058105;0.300049;0.961670
14.459574;-0.059082;0.295410;0.955566
14.459800;-0.060547;0.295410;0.958740
14.460025;-0.059570;0.300781;0.960449
14.546198;-0.058105;0.297363;0.958740
14.546593;-0.059326;0.297363;0.958496
14.546831;-0.060791;0.295654;0.958252
14.547060;-0.061035;0.299805;0.959717
14.646623;-0.059814;0.296631;0.958252
14.646878;-0.059082;0.296875;0.956543
14.647114;-0.060059;0.298828;0.960205
14.647340;-0.059326;0.299316;0.960693
15.175154;-0.059814;0.298340;0.958252
15.175573;-0.059326;0.297607;0.961670
15.175814;-0.060303;0.298096;0.959473
15.176504;-0.057129;0.295166;0.956299
15.178084;-0.056885;0.296631;0.963379
15.178491;-0.059326;0.298584;0.960205
15.178719;-0.060547;0.300049;0.958008
15.178945;-0.058594;0.300537;0.960449
15.355342;-0.057129;0.304199;0.958740
15.355636;-0.059814;0.294678;0.956055
15.356012;-0.060059;0.300293;0.961182
15.356242;-0.058105;0.300049;0.957764
15.357549;-0.059570;0.300049;0.960449
15.357809;-0.059814;0.297363;0.958008
15.358039;-0.059082;0.299805;0.961426
15.358266;-0.061035;0.302490;0.959229
15.453146;-0.059814;0.301270;0.958496
15.453449;-0.059570;0.299805;0.957520
15.453689;-0.059814;0.300537;0.959229
15.453917;-0.060791;0.298828;0.958496
15.454350;-0.058838;0.301270;0.959473
15.454579;-0.059570;0.299561;0.958252
15.454807;-0.059570;0.297852;0.960938
15.455033;-0.059814;0.300781;0.959717
15.535379;-0.059570;0.301270;0.959717
15.535599;-0.060303;0.297363;0.957520
15.535968;-0.060303;0.299316;0.959717
15.536164;-0.061035;0.301270;0.959717
15.715195;-0.060547;0.299805;0.958008
15.715426;-0.059570;0.296387;0.958984
15.715614;-0.061279;0.300781;0.958008
15.715916;-0.058838;0.297852;0.959229
15.804990;-0.060303;0.297119;0.961914
15.805357;-0.055176;0.298340;0.961914
15.805512;-0.061279;0.296631;0.958984
15.805883;-0.060791;0.299072;0.960205
16.345436;-0.058105;0.297607;0.956787
16.345760;-0.060303;0.295654;0.959229
16.346453;-0.060547;0.299561;0.961426
16.346689;-0.060547;0.297119;0.958252
16.348232;-0.059814;0.295654;0.958252
16.348467;-0.058105;0.296387;0.957764
16.348690;-0.061279;0.298828;0.958740
16.348913;-0.059814;0.297607;0.960205
16.435169;-0.061279;0.297607;0.959229
16.435453;-0.059082;0.297363;0.958984
16.435690;-0.061523;0.295166;0.958008
16.435919;-0.059082;0.296631;0.958008
16.529367;-0.057617;0.298096;0.963135
16.529615;-0.060547;0.296143;0.957031
16.529846;-0.060303;0.295898;0.958740
16.530073;-0.060059;0.296143;0.960205
16.624842;-0.060303;0.297119;0.958984
16.625088;-0.059814;0.294189;0.957275
16.625414;-0.060547;0.295166;0.961670
16.625645;-0.059570;0.295410;0.958008
16.627094;-0.059570;0.295410;0.960205
16.627327;-0.059570;0.296143;0.956299
16.627552;-0.060547;0.295166;0.958252
16.627777;-0.062500;0.293213;0.958496
16.706106;-0.058838;0.294434;0.958008
16.706356;-0.059814;0.295654;0.964355
16.706589;-0.059326;0.294922;0.956543
16.706816;-0.061523;0.295654;0.959229
16.795427;-0.061035;0.295898;0.958496
16.795713;-0.060059;0.295654;0.957031
16.795946;-0.059082;0.292969;0.961914
16.796175;-0.060059;0.295410;0.958740
17.335239;-0.060547;0.295166;0.960205
17.335649;-0.062256;0.294678;0.959717
17.336014;-0.059570;0.292236;0.959229
17.336243;-0.061279;0.294922;0.958740
17.424786;-0.059570;0.295410;0.958008
17.425081;-0.057617;0.294678;0.960938
17.425320;-0.060547;0.295410;0.957764
17.425550;-0.060059;0.292480;0.961426
17.426353;-0.060547;0.296143;0.960205
17.426676;-0.061768;0.295898;0.958740
17.426901;-0.061279;0.293457;0.960205
17.427124;-0.059570;0.293457;0.960205
17.525364;-0.060303;0.294678;0.959961
17.525597;-0.060303;0.293701;0.959229
17.525679;-0.060791;0.294434;0.958740
17.525879;-0.061768;0.293945;0.958496
17.604956;-0.061279;0.294189;0.960205
17.605680;-0.060547;0.294434;0.960693
17.605927;-0.058838;0.294189;0.958008
17.606155;-0.062500;0.292236;0.960938
17.606672;-0.061035;0.293945;0.957764
17.606903;-0.061279;0.295410;0.958008
17.607128;-0.061279;0.291992;0.965332
17.607351;-0.062500;0.295410;0.957520
17.695282;-0.062744;0.292969;0.960449
17.695564;-0.059814;0.294678;0.959473
17.695801;-0.058594;0.293457;0.959229
17.696028;-0.059814;0.292969;0.962402
18.235277;-0.061279;0.295166;0.960205
18.235634;-0.059814;0.295410;0.957764
18.235992;-0.061279;0.295166;0.961426
18.236227;-0.060059;0.291748;0.958496
18.324970;-0.059082;0.296387;0.959473
18.325409;-0.059570;0.295654;0.960205
18.325651;-0.061035;0.294189;0.959229
18.325876;-0.057373;0.295898;0.961914
18.327457;-0.061035;0.291748;0.959961
18.327713;-0.061523;0.295410;0.958984
18.327942;-0.059814;0.295654;0.958984
18.328232;-0.059570;0.295410;0.956543
18.423538;-0.060547;0.296143;0.959473
18.424477;-0.058594;0.294189;0.957520
18.424812;-0.059082;0.295166;0.958496
18.425110;-0.060547;0.297363;0.959229
18.427538;-0.060303;0.295166;0.957764
18.427767;-0.060791;0.295410;0.957520
18.427992;-0.057861;0.297607;0.961426
18.428394;-0.060791;0.295654;0.958008
18.506109;-0.058350;0.293701;0.957764
18.506357;-0.062012;0.298828;0.960938
18.506588;-0.057617;0.296875;0.956787
18.506966;-0.061768;0.297852;0.961182
18.595306;-0.060791;0.294678;0.960938
18.595596;-0.060303;0.297852;0.958496
18.595833;-0.059570;0.298828;0.961914
18.596060;-0.059326;0.298340;0.959961
18.685253;-0.058838;0.295654;0.958740
18.685556;-0.059082;0.296143;0.960693
18.685793;-0.059082;0.295898;0.956787
